case_id,role,citation_relevance,constraints_extraction,argument_validity
93,judge,4,4,4
176,prosecution,4,4,4
176,defense,4,4,4
176,judge,4,4,4
176,prosecution,4,3,4
176,defense,4,4,4
176,judge,4,4,4
176,prosecution,4,4,4
176,defense,4,4,4
176,judge,4,4,4
37,prosecution,4,4,4
37,defense,4,3,4
37,judge,4,4,4
37,prosecution,4,4,4
37,defense,4,4,4
37,judge,4,4,4
37,prosecution,4,4,4
37,defense,4,3,4
37,judge,4,4,4
86,prosecution,0,0,0
86,defense,4,4,4
86,judge,4,4,4
86,prosecution,4,4,4
86,defense,4,4,4
86,judge,4,3,4
86,prosecution,4,4,4
86,defense,4,4,4
86,judge,4,4,4
168,prosecution,4,4,4
168,defense,4,4,4
168,judge,4,4,4
168,prosecution,4,4,4
168,defense,4,4,4
168,judge,4,4,4
168,prosecution,4,4,4
168,defense,4,4,4
168,judge,4,4,4
74,prosecution,4,4,4
74,defense,4,4,4
74,judge,4,4,4
74,prosecution,4,4,4
74,defense,4,4,4
74,judge,4,4,4
74,prosecution,4,3,4
74,defense,4,4,4
74,judge,4,4,4
40,prosecution,4,4,4
40,defense,4,4,4
40,judge,4,4,4
40,prosecution,4,4,4
40,defense,4,4,4
40,judge,4,4,4
40,prosecution,4,4,4
40,defense,4,4,4
40,judge,4,4,4
199,prosecution,4,1,2
199,defense,4,4,4
199,judge,4,4,4
199,prosecution,4,4,4
199,defense,4,4,4
199,judge,4,4,4
199,prosecution,4,4,4
199,defense,4,4,4
199,judge,4,4,4
0,prosecution,4,4,4
0,defense,4,3,4
0,judge,4,4,4
0,prosecution,4,3,4
0,defense,4,4,4
0,judge,4,4,4
0,prosecution,4,4,4
0,defense,4,4,4
0,judge,4,4,4
55,prosecution,4,4,4
55,defense,4,4,4
55,judge,4,4,4
55,prosecution,4,4,4
55,defense,4,4,4
55,judge,4,4,4
55,prosecution,4,3,4
55,defense,4,4,4
55,judge,4,4,4
52,prosecution,4,4,4
52,defense,4,4,4
52,judge,4,4,4
52,prosecution,4,4,4
52,defense,4,4,4
52,judge,4,4,4
52,prosecution,4,4,4
52,defense,4,3,3
52,judge,4,4,4
191,prosecution,4,4,4
191,defense,4,3,4
191,judge,4,4,4
191,prosecution,4,3,4
191,defense,4,4,4
191,judge,4,4,4
191,prosecution,4,4,4
191,defense,4,3,3
191,judge,4,4,4
115,prosecution,4,4,4
115,defense,4,3,4
115,judge,4,4,4
115,prosecution,4,4,4
115,defense,4,4,4
115,judge,4,4,4
115,prosecution,4,4,4
115,defense,4,4,4
115,judge,4,4,4
108,prosecution,4,4,4
108,defense,4,4,4
108,judge,4,4,4
108,prosecution,4,4,4
108,defense,4,4,4
108,judge,4,4,4
108,prosecution,4,3,2
108,defense,4,4,4
108,judge,4,4,4
85,prosecution,4,4,4
85,defense,4,3,4
85,judge,4,4,4
85,prosecution,4,4,4
85,defense,4,4,4
85,judge,4,4,4
85,prosecution,1,1,3
85,defense,4,4,4
85,judge,4,4,4
121,prosecution,4,4,4
121,defense,4,4,4
121,judge,4,4,4
121,prosecution,4,4,4
121,defense,4,4,4
121,judge,4,4,4
121,prosecution,4,2,2
121,defense,4,4,4
121,judge,4,4,4
94,prosecution,0,0,0
94,defense,4,4,4
94,judge,4,4,4
94,prosecution,4,4,4
94,defense,4,4,4
94,judge,4,4,4
94,prosecution,4,3,3
94,defense,4,4,4
94,judge,4,4,4
163,prosecution,4,4,4
163,defense,4,2,4
163,judge,4,4,4
163,prosecution,4,4,4
163,defense,4,3,4
163,judge,4,4,4
163,prosecution,4,4,4
163,defense,4,4,4
163,judge,4,4,4
67,prosecution,4,4,4
67,defense,4,4,4
67,judge,4,4,4
67,prosecution,4,4,4
67,defense,4,4,4
67,judge,4,4,4
67,prosecution,4,4,4
67,defense,4,2,1
67,judge,4,4,4
95,prosecution,0,0,0
95,defense,4,4,4
95,judge,4,4,4
95,prosecution,0,0,0
95,defense,4,4,4
95,judge,4,4,4
95,prosecution,0,0,0
95,defense,4,4,4
95,judge,4,4,4
68,prosecution,4,4,4
68,defense,4,4,4
68,judge,4,3,4
68,prosecution,4,4,4
68,defense,4,4,4
68,judge,4,4,4
68,prosecution,4,3,2
68,defense,4,4,4
68,judge,4,4,4
112,prosecution,4,4,4
112,defense,4,4,4
112,judge,4,4,4
112,prosecution,4,4,4
112,defense,4,4,4
112,judge,4,4,4
112,prosecution,4,4,4
112,defense,4,4,4
112,judge,4,4,4
38,prosecution,4,4,4
38,defense,4,4,4
38,judge,4,4,4
38,prosecution,4,4,4
38,defense,4,4,4
38,judge,4,4,4
38,prosecution,4,4,4
38,defense,4,4,4
38,judge,4,4,4
87,prosecution,0,0,0
87,defense,4,3,4
87,judge,4,4,4
87,defense,4,4,4
87,judge,4,4,4
87,prosecution,4,4,4
87,defense,4,4,4
87,judge,4,4,4
23,prosecution,4,3,4
23,defense,4,4,4
23,judge,4,4,4
23,prosecution,4,4,4
23,defense,4,4,4
23,judge,4,4,4
23,prosecution,4,4,4
23,defense,4,4,4
23,judge,4,4,4
183,prosecution,4,4,4
183,defense,4,4,4
183,judge,4,4,4
183,prosecution,4,4,4
183,defense,4,4,4
183,judge,4,4,4
183,prosecution,4,4,4
183,defense,4,4,4
183,judge,4,4,4
110,prosecution,4,4,4
110,defense,4,4,4
110,judge,4,4,4
110,defense,4,4,4
110,judge,4,4,4
110,prosecution,4,3,2
110,defense,4,4,4
110,judge,4,4,4
34,defense,4,4,4
34,judge,4,4,4
34,prosecution,4,4,4
34,defense,4,4,4
34,judge,4,4,4
34,prosecution,4,4,4
34,defense,4,4,4
34,judge,4,4,4
157,prosecution,4,4,4
157,defense,4,4,4
157,judge,4,4,4
157,prosecution,4,4,4
157,defense,4,4,4
157,judge,4,4,4
157,prosecution,4,4,4
157,defense,4,4,4
157,judge,4,4,4
97,prosecution,0,0,0
97,defense,4,4,4
97,judge,4,4,4
97,prosecution,4,4,4
97,defense,4,4,4
97,judge,4,4,4
97,prosecution,4,4,4
97,defense,4,4,4
97,judge,4,4,4
132,prosecution,1,0,0
132,defense,4,4,4
132,judge,4,4,4
132,prosecution,4,4,4
132,defense,4,4,4
132,judge,4,3,4
132,prosecution,4,4,4
132,defense,4,4,4
132,judge,4,4,4
101,prosecution,4,4,4
101,defense,4,4,4
101,judge,4,4,4
101,prosecution,4,4,4
101,defense,4,4,4
101,judge,4,4,4
101,prosecution,4,4,4
101,defense,4,4,4
101,judge,4,4,4
131,prosecution,4,4,4
131,defense,4,4,4
131,judge,4,3,4
131,prosecution,4,3,4
131,defense,4,3,4
131,judge,4,4,4
131,prosecution,4,3,4
131,defense,4,2,3
131,judge,4,4,4
175,prosecution,4,4,4
175,defense,4,4,4
175,judge,4,4,4
175,prosecution,4,4,4
175,defense,4,4,4
175,judge,4,4,4
175,prosecution,4,4,4
175,defense,4,4,4
175,judge,4,4,4
25,prosecution,4,4,4
25,defense,4,4,4
25,judge,4,3,4
25,prosecution,4,4,4
25,defense,4,3,4
25,judge,4,4,4
25,prosecution,4,4,4
25,defense,4,4,3
25,judge,4,4,4
166,defense,4,4,4
166,judge,4,4,4
166,prosecution,4,4,4
166,defense,4,4,4
166,judge,4,4,4
166,prosecution,4,4,4
166,defense,4,4,4
166,judge,4,4,4
136,prosecution,4,4,4
136,defense,4,4,4
136,judge,4,4,4
136,prosecution,4,4,4
136,defense,4,4,4
136,judge,4,4,4
136,prosecution,4,4,4
136,defense,4,3,3
136,judge,4,4,4
3,defense,4,4,4
3,judge,4,4,4
3,prosecution,4,4,4
3,defense,4,4,4
3,judge,4,4,4
3,prosecution,4,2,2
3,defense,4,4,4
3,judge,4,4,4
24,prosecution,4,1,1
24,defense,4,4,4
24,judge,4,3,4
24,prosecution,4,4,4
24,defense,4,4,4
24,judge,4,4,4
24,prosecution,4,3,4
24,defense,4,4,4
24,judge,4,4,4
65,prosecution,4,4,4
65,defense,4,4,4
65,judge,3,4,3
65,prosecution,0,0,0
65,defense,4,3,4
65,judge,4,4,4
65,prosecution,4,4,4
65,defense,4,2,2
65,judge,4,4,4
156,prosecution,4,4,4
156,defense,4,4,4
156,judge,4,3,4
156,prosecution,4,4,4
156,defense,4,4,4
156,judge,4,3,4
156,prosecution,4,3,4
156,defense,4,4,4
156,judge,4,4,4
19,prosecution,4,4,4
19,defense,4,4,4
19,judge,4,4,4
19,prosecution,4,4,4
19,defense,4,4,4
19,judge,4,4,4
19,prosecution,4,4,4
19,defense,4,4,4
19,judge,4,4,4
10,prosecution,4,4,4
10,defense,2,1,2
10,judge,4,4,4
10,prosecution,4,4,4
10,defense,4,3,4
10,judge,4,4,4
10,prosecution,4,4,4
10,defense,4,3,3
10,judge,4,4,4
63,prosecution,4,4,4
63,defense,4,4,4
63,judge,4,4,4
63,prosecution,4,4,4
63,defense,4,4,4
63,judge,4,4,4
63,prosecution,4,3,4
63,defense,4,4,4
63,judge,4,4,4
17,defense,4,4,4
17,judge,4,4,4
17,defense,4,4,4
17,judge,4,4,4
17,prosecution,4,4,4
17,defense,4,4,4
17,judge,4,4,4
143,prosecution,4,4,4
143,defense,4,4,4
143,judge,4,4,4
143,prosecution,4,4,4
143,defense,4,4,4
143,judge,4,4,4
143,prosecution,4,4,4
143,defense,4,4,4
143,judge,4,4,4
105,prosecution,4,4,4
105,defense,4,4,4
105,judge,4,4,4
105,prosecution,4,3,4
105,defense,4,4,4
105,judge,4,4,4
105,prosecution,4,4,4
105,defense,4,4,4
105,judge,4,4,4
114,prosecution,4,3,4
114,defense,4,4,4
114,judge,4,4,4
114,prosecution,4,2,2
114,defense,4,4,4
114,judge,4,4,4
114,prosecution,4,3,2
114,defense,4,4,4
114,judge,4,4,4
164,prosecution,4,4,4
164,defense,4,4,4
164,judge,4,4,4
164,prosecution,4,4,4
164,defense,4,3,3
164,judge,4,4,4
164,prosecution,4,4,4
164,defense,4,3,3
164,judge,4,4,4
190,prosecution,4,4,4
190,defense,4,4,4
190,judge,4,4,4
190,prosecution,4,4,4
190,defense,4,4,4
190,judge,4,4,4
190,prosecution,4,3,2
190,defense,4,4,4
190,judge,4,4,4
165,prosecution,4,4,4
165,defense,4,4,4
165,judge,4,4,4
165,prosecution,4,4,4
165,defense,4,4,4
165,judge,4,4,4
165,prosecution,4,4,4
165,defense,4,4,4
165,judge,4,4,4
194,prosecution,4,4,4
194,defense,4,3,4
194,judge,4,4,4
194,prosecution,4,4,4
194,defense,4,3,4
194,judge,4,4,4
194,prosecution,4,4,4
194,defense,4,4,4
194,judge,4,4,4
70,prosecution,4,4,4
70,defense,4,3,3
70,judge,4,4,4
70,prosecution,4,4,4
70,defense,4,4,4
70,judge,4,4,4
70,prosecution,4,4,4
70,defense,4,4,4
70,judge,4,4,4
162,prosecution,4,4,4
162,defense,4,4,4
162,judge,4,4,4
162,prosecution,4,4,4
162,defense,4,3,3
162,judge,4,4,4
162,prosecution,4,4,4
162,defense,4,4,4
162,judge,4,4,4
126,prosecution,4,3,4
126,defense,4,3,4
126,judge,4,4,4
126,prosecution,4,4,4
126,defense,4,4,4
126,judge,4,4,4
126,prosecution,4,4,4
126,defense,4,4,4
126,judge,4,4,4
141,prosecution,4,4,4
141,defense,4,4,4
141,judge,4,3,4
141,prosecution,4,4,4
141,defense,4,4,4
141,judge,4,4,4
141,prosecution,4,4,4
141,defense,4,4,4
141,judge,4,4,4
124,prosecution,4,4,4
124,defense,4,4,4
124,judge,4,2,3
124,prosecution,4,4,4
124,defense,4,4,4
124,judge,4,4,4
124,prosecution,4,4,4
124,defense,4,4,4
124,judge,4,4,4
57,prosecution,4,4,4
57,defense,4,4,4
57,judge,4,4,4
57,prosecution,4,4,4
57,defense,4,4,4
57,judge,4,4,4
57,prosecution,4,4,4
57,defense,4,4,4
57,judge,4,4,4
91,prosecution,0,0,0
91,defense,4,4,4
91,judge,4,4,4
91,prosecution,4,4,4
91,defense,4,4,4
91,judge,4,4,4
91,prosecution,0,0,0
91,defense,4,4,4
91,judge,4,4,4
5,prosecution,4,4,4
5,defense,4,4,4
5,judge,4,4,4
5,prosecution,4,4,4
5,defense,4,4,4
5,judge,4,4,4
5,prosecution,4,4,4
5,defense,4,4,4
5,judge,4,4,4
50,prosecution,4,4,4
50,defense,4,3,3
50,judge,4,4,4
50,prosecution,4,4,4
50,defense,4,4,4
50,judge,4,3,4
50,prosecution,4,4,4
50,defense,4,4,4
50,judge,4,4,4
73,prosecution,4,4,4
73,defense,4,4,4
73,judge,4,4,4
73,prosecution,4,4,4
73,defense,0,0,0
73,judge,4,3,4
73,prosecution,4,4,4
73,defense,4,4,4
73,judge,4,4,4
170,prosecution,4,4,4
170,defense,4,4,4
170,judge,4,4,4
170,prosecution,4,4,4
170,defense,4,4,4
170,judge,4,4,4
170,prosecution,4,3,3
170,defense,4,4,4
170,judge,4,4,4
144,prosecution,4,4,4
144,defense,4,4,4
144,judge,4,3,4
144,prosecution,4,4,4
144,defense,4,4,4
144,judge,4,4,4
144,prosecution,4,4,4
144,defense,4,4,4
144,judge,4,4,4
60,prosecution,4,4,4
60,defense,4,4,4
60,judge,4,4,4
60,prosecution,4,4,4
60,defense,4,4,4
60,judge,4,4,4
60,prosecution,4,4,4
60,defense,4,4,4
60,judge,4,4,4
129,prosecution,4,4,4
129,defense,4,4,4
129,judge,4,4,4
129,prosecution,4,4,4
129,defense,4,4,4
129,judge,4,4,4
129,prosecution,4,4,4
129,defense,4,4,4
129,judge,4,4,4
109,prosecution,4,4,4
109,defense,4,4,4
109,judge,4,4,4
109,prosecution,4,4,4
109,defense,4,3,4
109,judge,4,4,4
109,prosecution,4,4,4
109,defense,4,4,4
109,judge,4,4,4
147,prosecution,4,4,4
147,defense,4,4,4
147,judge,4,4,4
147,prosecution,4,4,3
147,defense,4,4,4
147,judge,4,4,4
147,prosecution,4,1,1
147,defense,4,4,4
147,judge,4,4,4
20,prosecution,4,4,4
20,defense,4,4,4
20,judge,4,4,4
20,prosecution,4,4,4
20,defense,4,4,4
20,judge,4,4,4
20,prosecution,4,4,4
20,defense,4,4,4
20,judge,4,4,4
182,prosecution,4,4,4
182,defense,4,4,4
182,judge,4,4,4
182,prosecution,4,4,4
182,defense,4,4,4
182,judge,4,4,4
182,prosecution,4,4,4
182,defense,4,4,4
182,judge,4,4,4
81,prosecution,0,0,0
81,defense,4,4,4
81,judge,4,4,4
81,prosecution,4,4,4
81,defense,4,4,4
81,judge,4,4,4
81,prosecution,0,0,0
81,defense,4,3,4
81,judge,4,4,4
27,prosecution,4,4,4
27,defense,4,4,4
27,judge,4,4,4
27,prosecution,4,3,1
27,defense,4,4,4
27,judge,4,4,4
27,prosecution,4,1,1
27,defense,4,4,4
27,judge,4,4,4
201,prosecution,4,4,4
201,defense,4,4,4
201,judge,4,4,4
201,prosecution,4,4,4
201,defense,4,4,4
201,judge,4,4,4
201,prosecution,4,3,4
201,defense,4,3,4
201,judge,4,4,4
31,prosecution,4,4,4
31,defense,4,4,4
31,judge,4,4,4
31,prosecution,4,4,4
31,defense,4,3,4
31,judge,4,4,4
31,prosecution,4,4,4
31,defense,4,3,4
31,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,4,4
188,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,4,4
188,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,4,4
188,judge,4,4,4
61,prosecution,4,4,4
61,defense,4,4,4
61,judge,4,4,4
61,prosecution,4,4,4
61,defense,4,4,4
61,judge,4,4,4
61,prosecution,4,4,4
61,defense,4,4,4
61,judge,4,4,4
160,prosecution,4,4,4
160,defense,4,4,4
160,judge,4,4,4
160,prosecution,4,4,4
160,defense,4,4,4
160,judge,4,4,4
160,prosecution,4,3,3
160,defense,4,4,4
160,judge,4,4,4
62,prosecution,4,4,4
62,defense,4,4,4
62,judge,4,4,4
62,prosecution,4,4,3
62,defense,4,4,4
62,judge,4,4,4
62,prosecution,4,4,4
62,defense,4,4,4
62,judge,4,4,4
98,prosecution,4,4,4
98,defense,4,4,4
98,judge,4,4,4
98,prosecution,4,4,4
98,defense,4,4,4
98,judge,4,4,4
98,prosecution,4,4,4
98,defense,4,4,4
98,judge,4,4,4
30,prosecution,4,4,4
30,defense,4,4,4
30,judge,4,4,4
30,prosecution,4,4,4
30,defense,4,4,4
30,judge,4,4,4
30,prosecution,4,4,4
30,defense,4,3,4
30,judge,4,4,4
151,prosecution,4,4,4
151,defense,4,4,4
151,judge,4,4,4
151,prosecution,4,4,4
151,defense,4,4,4
151,judge,4,4,4
151,prosecution,4,3,4
151,defense,4,4,4
151,judge,4,4,4
186,prosecution,4,4,4
186,defense,4,4,4
186,judge,4,4,4
186,prosecution,4,4,4
186,defense,4,4,4
186,judge,4,4,4
186,prosecution,4,4,4
186,defense,4,4,4
186,judge,4,4,4
197,prosecution,4,4,4
197,defense,4,4,4
197,judge,4,4,4
197,prosecution,4,4,4
197,defense,4,4,4
197,judge,4,4,4
197,prosecution,4,4,4
197,defense,4,4,4
197,judge,4,4,4
149,prosecution,4,4,4
149,defense,4,4,4
149,judge,4,3,4
149,prosecution,4,4,4
149,defense,4,4,4
149,judge,4,4,4
149,prosecution,4,4,4
149,defense,4,4,4
149,judge,4,4,4
120,prosecution,4,4,4
120,defense,4,4,4
120,judge,4,3,4
120,prosecution,4,4,4
120,defense,4,4,4
120,judge,4,4,4
120,prosecution,4,4,3
120,defense,4,4,4
120,judge,4,4,4
181,prosecution,4,4,4
181,defense,4,3,4
181,judge,4,4,4
181,prosecution,4,3,4
181,defense,4,4,4
181,judge,4,4,4
181,prosecution,4,3,4
181,defense,4,4,4
181,judge,4,4,4
53,prosecution,4,4,4
53,defense,4,4,4
53,judge,4,4,4
53,prosecution,4,2,1
53,defense,4,4,4
53,judge,4,4,4
53,prosecution,4,3,4
53,defense,4,4,4
53,judge,4,4,4
6,prosecution,4,3,4
6,defense,4,3,4
6,judge,4,4,4
6,prosecution,4,4,4
6,defense,4,4,4
6,judge,4,3,4
6,prosecution,4,4,4
6,defense,4,2,3
6,judge,4,4,4
127,prosecution,3,4,4
127,defense,4,4,4
127,judge,4,3,4
127,prosecution,4,3,4
127,defense,4,4,4
127,judge,4,4,4
127,prosecution,4,3,4
127,defense,4,4,4
127,judge,4,4,4
75,prosecution,4,4,4
75,defense,4,4,4
75,judge,4,4,4
75,prosecution,4,3,4
75,defense,4,4,4
75,judge,4,4,4
75,prosecution,4,4,4
75,defense,4,4,4
75,judge,4,4,4
83,prosecution,0,0,0
83,defense,4,4,4
83,judge,4,2,4
83,prosecution,4,4,4
83,defense,4,4,4
83,judge,4,4,4
83,prosecution,4,4,4
83,defense,4,3,3
83,judge,4,3,4
123,prosecution,4,4,4
123,defense,4,4,4
123,judge,4,4,4
123,prosecution,4,4,4
123,defense,4,4,4
123,judge,4,4,4
123,prosecution,4,3,2
123,defense,4,4,4
123,judge,4,4,4
82,prosecution,0,0,0
82,defense,1,1,3
82,judge,4,3,4
82,prosecution,0,0,0
82,defense,3,2,3
82,judge,4,3,4
82,prosecution,0,0,0
82,defense,4,3,4
82,judge,4,3,4
137,prosecution,4,4,4
137,defense,3,2,2
137,judge,4,4,4
137,prosecution,4,4,4
137,defense,4,3,4
137,judge,4,4,4
137,prosecution,4,4,4
137,defense,4,3,3
137,judge,4,4,4
66,prosecution,4,4,4
66,defense,4,4,4
66,judge,4,4,4
66,prosecution,4,4,4
66,defense,4,4,4
66,judge,4,4,4
66,prosecution,4,4,4
66,defense,4,4,4
66,judge,4,4,4
146,prosecution,4,4,4
146,defense,4,4,4
146,judge,4,4,4
146,prosecution,4,4,4
146,defense,4,3,4
146,judge,4,4,4
146,prosecution,4,4,4
146,defense,4,4,3
146,judge,4,4,4
178,prosecution,4,4,4
178,defense,4,4,4
178,judge,4,4,4
178,prosecution,4,4,4
178,defense,4,4,4
178,judge,4,4,4
178,prosecution,4,4,4
178,defense,4,4,4
178,judge,4,4,4
177,prosecution,4,4,4
177,defense,4,4,4
177,judge,4,4,4
177,prosecution,4,4,4
177,defense,4,3,4
177,judge,4,4,4
177,prosecution,4,4,4
177,defense,4,4,4
177,judge,4,4,4
71,prosecution,4,4,4
71,defense,4,4,4
71,judge,4,4,4
71,prosecution,4,4,4
71,defense,4,4,4
71,judge,4,4,4
71,prosecution,4,4,4
71,defense,4,3,3
71,judge,4,3,4
29,prosecution,4,4,4
29,defense,4,4,4
29,judge,4,4,4
29,prosecution,4,4,4
29,defense,4,3,4
29,judge,4,4,4
29,prosecution,4,4,4
29,defense,4,4,4
29,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,3,3
47,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,4,4
47,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,4,4
47,judge,4,4,4
79,prosecution,0,0,0
79,defense,2,1,2
79,judge,4,4,4
79,prosecution,4,3,4
79,defense,4,4,4
79,judge,4,4,4
79,prosecution,4,3,4
79,defense,4,4,4
79,judge,4,4,4
92,prosecution,1,2,3
92,defense,4,3,4
92,judge,1,0,0
92,prosecution,4,4,4
92,defense,4,3,4
92,judge,4,4,4
92,prosecution,4,4,4
92,defense,4,3,2
92,judge,4,4,4
130,prosecution,4,4,4
130,defense,4,4,4
130,judge,4,4,4
130,prosecution,4,4,4
130,defense,4,4,4
130,judge,4,4,4
130,prosecution,4,4,4
130,defense,4,4,4
130,judge,4,4,4
138,prosecution,4,4,4
138,defense,4,4,4
138,judge,4,4,4
138,prosecution,4,3,3
138,defense,4,4,4
138,judge,4,4,4
138,prosecution,4,3,2
138,defense,4,4,4
138,judge,4,4,4
51,prosecution,4,4,4
51,defense,4,4,4
51,judge,4,4,4
51,prosecution,4,4,4
51,defense,4,4,3
51,judge,4,4,4
51,prosecution,4,4,4
51,defense,4,4,4
51,judge,4,4,4
179,prosecution,4,4,4
179,defense,4,4,4
179,judge,4,4,4
179,prosecution,4,4,4
179,defense,4,4,4
179,judge,4,4,4
179,prosecution,4,4,4
179,defense,4,4,4
179,judge,4,4,4
113,prosecution,4,4,4
113,defense,4,3,4
113,judge,4,4,4
113,prosecution,4,4,4
113,defense,4,4,4
113,judge,4,4,4
113,prosecution,4,4,4
113,defense,4,4,4
113,judge,4,4,4
189,prosecution,4,4,4
189,defense,4,4,4
189,judge,4,4,4
189,prosecution,4,4,4
189,defense,4,4,4
189,judge,4,4,4
189,prosecution,4,4,4
189,defense,4,4,4
189,judge,4,4,4
118,prosecution,4,1,3
118,defense,4,4,4
118,judge,4,4,4
118,prosecution,4,4,4
118,defense,4,4,4
118,judge,4,4,4
118,prosecution,4,3,3
118,defense,4,4,4
118,judge,4,4,4
22,prosecution,4,4,4
22,defense,4,4,4
22,judge,4,4,4
22,prosecution,4,4,4
22,defense,4,4,4
22,judge,4,4,4
22,prosecution,4,4,4
22,defense,4,4,4
22,judge,4,4,4
142,prosecution,4,0,0
142,defense,4,4,4
142,judge,3,2,4
142,prosecution,4,4,4
142,defense,4,4,4
142,judge,4,4,4
142,prosecution,4,3,4
142,defense,4,4,4
142,judge,4,4,4
174,prosecution,4,4,4
174,defense,4,4,4
174,judge,4,4,4
174,prosecution,4,4,4
174,defense,4,4,4
174,judge,4,4,4
174,prosecution,4,4,4
174,defense,4,4,4
174,judge,4,4,4
100,prosecution,4,4,4
100,defense,4,4,4
100,judge,4,4,4
100,prosecution,4,4,4
100,defense,4,4,4
100,judge,4,4,4
100,prosecution,4,4,4
100,defense,4,4,4
100,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,4,4
80,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,3,3
80,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,3,3
80,judge,4,4,4
54,prosecution,4,4,4
54,defense,4,4,4
54,judge,4,4,4
54,prosecution,4,4,4
54,defense,4,4,4
54,judge,4,4,4
54,prosecution,4,4,4
54,defense,4,4,4
54,judge,4,3,4
154,prosecution,4,4,4
154,defense,4,4,4
154,judge,4,4,4
154,prosecution,4,4,4
154,defense,4,4,4
154,judge,4,4,4
154,prosecution,4,4,4
154,defense,4,4,4
154,judge,4,4,4
198,prosecution,4,4,4
198,defense,4,4,4
198,judge,4,4,4
198,prosecution,4,4,4
198,defense,4,4,4
198,judge,4,4,4
198,prosecution,4,4,4
198,defense,4,4,4
198,judge,4,4,4
195,prosecution,4,4,4
195,defense,4,4,4
195,judge,4,4,4
195,prosecution,4,4,3
195,defense,4,4,4
195,judge,4,4,4
195,prosecution,4,4,4
195,defense,4,4,4
195,judge,4,4,4
187,prosecution,4,4,4
187,defense,4,4,4
187,judge,4,4,4
187,prosecution,4,4,4
187,defense,4,4,4
187,judge,4,4,4
187,prosecution,4,4,4
187,defense,4,4,4
187,judge,4,4,4
152,prosecution,4,4,4
152,defense,4,4,4
152,judge,4,4,4
152,prosecution,4,4,4
152,defense,4,4,4
152,judge,4,4,4
152,prosecution,4,4,4
152,defense,4,4,4
152,judge,4,4,4
167,prosecution,4,4,4
167,defense,4,4,4
167,judge,4,4,4
167,prosecution,4,3,4
167,defense,4,4,4
167,judge,4,4,4
167,prosecution,4,4,4
167,defense,4,3,4
167,judge,4,4,4
42,prosecution,4,4,4
42,defense,4,4,4
42,judge,4,4,4
42,prosecution,4,4,4
42,defense,4,4,4
42,judge,4,4,4
42,prosecution,4,4,4
42,defense,4,4,4
42,judge,4,4,4
196,prosecution,4,4,4
196,defense,4,4,4
196,judge,4,4,4
196,prosecution,4,3,3
196,defense,4,4,4
196,judge,4,4,4
